City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Guipavas,FR,2022-10-02 06:45:15,48.4352,-4.3972,62.6,96,100,19.57
231,Sobolevo,RU,2022-10-02 06:45:15,54.4299,31.8996,48.24,82,100,5.82
232,Najran,SA,2022-10-02 06:44:30,17.4924,44.1277,84.85,20,0,2.84
233,Hun,LY,2022-10-02 06:45:16,29.1268,15.9477,79.11,71,25,14.23
234,Belmonte,BR,2022-10-02 06:45:16,-15.8631,-38.8828,73.63,87,98,7.2
235,Yumen,CN,2022-10-02 06:45:16,40.2833,97.2,49.19,15,100,18.41
236,Cardoso,BR,2022-10-02 06:45:17,-20.0819,-49.9142,70.93,74,3,6.15
237,Tommot,RU,2022-10-02 06:45:17,58.9564,126.2925,32.77,93,100,5.68
238,Corrente,BR,2022-10-02 06:45:17,-3.7367,-43.3394,70.09,99,11,2.26
239,Amga,RU,2022-10-02 06:45:18,60.8953,131.9608,32.41,49,100,7.63
240,Leo,BF,2022-10-02 06:45:18,11.1,-2.1,71.38,92,81,6.96
241,Canyon,US,2022-10-02 06:45:19,34.9803,-101.9188,66.04,44,8,9.01
242,San Patricio,US,2022-10-02 06:45:19,28.017,-97.5169,77.85,62,9,6.35
243,Geraldton,AU,2022-10-02 06:45:20,-28.7667,114.6,73.81,56,40,21.85
244,Georgetown,MY,2022-10-02 06:45:20,5.4112,100.3354,91.33,65,20,8.05
245,Yulin,CN,2022-10-02 06:45:20,22.6333,110.15,87.08,68,38,6.98
246,Yarmouth,US,2022-10-02 06:45:21,41.7057,-70.2286,59.97,95,100,14.97
247,Collie,AU,2022-10-02 06:45:21,-33.3667,116.15,60.55,53,87,11.48
248,Boda,CF,2022-10-02 06:45:22,4.3189,17.4695,74.23,88,47,3.38
249,Makakilo City,US,2022-10-02 06:45:22,21.3469,-158.0858,79.12,74,0,5.75
250,Zavyalovo,RU,2022-10-02 06:45:22,54.5053,82.4484,40.28,66,27,5.06
251,Bilibino,RU,2022-10-02 06:45:23,68.0546,166.4372,28.63,88,100,1.28
252,Saint-Jean-De-Maurienne,FR,2022-10-02 06:45:23,45.1667,6.5833,36.14,94,82,5.19
253,Codrington,AU,2022-10-02 06:45:24,-38.2667,141.9667,56.75,78,99,8.97
254,Hofn,IS,2022-10-02 06:45:24,64.2539,-15.2082,47.25,79,91,11.48
255,Bandarbeyla,SO,2022-10-02 06:45:24,9.4942,50.8122,86.88,55,14,20.49
256,Sakakah,SA,2022-10-02 06:45:25,29.9697,40.2064,81.97,17,0,3.02
257,Nola,IT,2022-10-02 06:45:25,40.922,14.5329,68.63,80,0,2.53
258,Nyurba,RU,2022-10-02 06:45:26,63.2842,118.3319,31.6,56,100,5.48
259,Bikapur,IN,2022-10-02 06:45:26,26.6,82.1333,91.26,48,0,5.48
260,Ilhabela,BR,2022-10-02 06:45:26,-23.7781,-45.3581,65.88,91,1,3.91
261,Klaksvik,FO,2022-10-02 06:45:27,62.2266,-6.589,50.92,80,95,28.07
262,Bonito,BR,2022-10-02 06:45:27,-21.1211,-56.4819,66.83,91,6,2.84
263,Cabras,IT,2022-10-02 06:45:27,39.93,8.5314,72.23,69,1,10.58
264,Constitucion,CL,2022-10-02 06:45:28,-35.3333,-72.4167,54.45,81,93,2.75
265,Alofi,NU,2022-10-02 06:45:28,-19.0595,-169.9187,73.29,78,6,8.05
266,Berezovyy,RU,2022-10-02 06:45:29,51.6667,135.7,50.88,72,100,5.79
267,Cabo San Lucas,MX,2022-10-02 06:41:32,22.8909,-109.9124,78.62,77,26,5.61
268,Iqaluit,CA,2022-10-02 06:45:29,63.7506,-68.5145,29.93,80,75,21.85
269,Kabo,CF,2022-10-02 06:45:29,7.6994,18.629,73.49,93,100,5.84
270,Valadares,PT,2022-10-02 06:45:30,41.1474,-7.9812,51.46,51,100,4.94
271,Richards Bay,ZA,2022-10-02 06:45:30,-28.783,32.0377,73.83,71,95,7.0
272,Kaitangata,NZ,2022-10-02 06:45:30,-46.2817,169.8464,45.95,92,0,3.8
273,Shalinskoye,RU,2022-10-02 06:46:31,55.7228,93.7594,36.41,68,100,10.63
274,Thinadhoo,MV,2022-10-02 06:46:31,0.5333,72.9333,81.61,74,100,16.8
275,Guerrero Negro,MX,2022-10-02 06:46:17,27.9769,-114.0611,68.38,79,1,11.52
276,Tessalit,ML,2022-10-02 06:46:32,20.1986,1.0114,83.05,44,29,4.9
277,Marrakesh,MA,2022-10-02 06:43:01,31.6315,-8.0083,68.07,60,40,5.75
278,Bawku,GH,2022-10-02 06:46:32,11.0616,-0.2417,73.58,88,100,5.17
279,Mabaruma,GY,2022-10-02 06:46:32,8.2,-59.7833,74.88,97,46,2.55
280,Ukiah,US,2022-10-02 06:46:33,39.1502,-123.2078,61.38,86,0,5.75
281,Mattawa,US,2022-10-02 06:46:33,46.7379,-119.9028,59.02,52,0,7.0
282,Talnakh,RU,2022-10-02 06:46:34,69.4865,88.3972,31.21,88,93,7.29
283,Morgantown,US,2022-10-02 06:42:01,39.6295,-79.9559,54.45,95,100,6.91
284,San Cristobal,VE,2022-10-02 06:46:34,7.7669,-72.225,65.25,88,92,2.64
285,Shenzhen,CN,2022-10-02 06:46:35,22.5455,114.0683,89.85,66,2,12.68
286,Revda,RU,2022-10-02 06:46:35,56.801,59.9303,51.73,61,94,7.52
287,Roma,US,2022-10-02 06:46:36,43.2128,-75.4557,52.57,80,0,1.99
288,Novo Aripuana,BR,2022-10-02 06:46:36,-5.1206,-60.3797,71.82,96,100,0.56
289,Karaidel,RU,2022-10-02 06:46:37,55.8337,56.9069,51.35,47,100,11.83
290,Laguna,US,2022-10-02 06:46:37,38.421,-121.4238,63.79,82,0,10.36
291,Bud,US,2022-10-02 06:46:37,39.447,-86.1758,57.67,75,0,8.19
292,Kostelec Nad Orlici,CZ,2022-10-02 06:46:38,50.1227,16.2132,51.62,92,56,10.6
293,Mitu,CO,2022-10-02 06:46:38,1.1983,-70.1733,68.77,100,100,1.86
